Human-Readable Term,Reduction Steps,Normal Form,Normal Form Size
SK(K(S(KK)S)),0,SK(K(S(KK)S)),7
SK(K(SK(KS))),0,SK(K(SK(KS))),7
SK(K(S(K(KS)))),0,SK(K(S(K(KS)))),7
S(K(K(S(KK)S))),0,S(K(K(S(KK)S))),7
S(K(K(SK(KS)))),0,S(K(K(SK(KS)))),7
S(K(K(S(K(KS))))),0,S(K(K(S(K(KS))))),7
S(K(K(SKK)))K,0,S(K(K(SKK)))K,7
S(K(K(S(KK))))K,0,S(K(K(S(KK))))K,7
S(K(K(SK)))(KK),0,S(K(K(SK)))(KK),7
S(K(KS))(K(KK)),0,S(K(KS))(K(KK)),7
S(KK)(S(KK)K),0,S(KK)(S(KK)K),7
S(KK)(SK(KK)),0,S(KK)(SK(KK)),7
S(KK)(S(K(KK))),0,S(KK)(S(K(KK))),7
SK(K(S(KK)K)),0,SK(K(S(KK)K)),7
SK(K(SK(KK))),0,SK(K(SK(KK))),7
SK(K(S(K(KK)))),0,SK(K(S(K(KK)))),7
S(K(K(S(KK)K))),0,S(K(K(S(KK)K))),7
S(K(K(SK(KK)))),0,S(K(K(SK(KK)))),7
S(K(K(S(K(KK))))),0,S(K(K(S(K(KK))))),7
S(K(K(K(SS))))S,0,S(K(K(K(SS))))S,7
S(K(K(KS)))(SS),0,S(K(K(KS)))(SS),7
S(K(KK))(SSS),0,S(K(KK))(SSS),7
S(K(KK))(S(SS)),0,S(K(KK))(S(SS)),7
S(KK)(K(SSS)),0,S(KK)(K(SSS)),7
S(KK)(K(S(SS))),0,S(KK)(K(S(SS))),7
SK(K(K(SSS))),0,SK(K(K(SSS))),7
SK(K(K(S(SS)))),0,SK(K(K(S(SS)))),7
S(K(K(K(SSS)))),0,S(K(K(K(SSS)))),7
S(K(K(K(S(SS))))),0,S(K(K(K(S(SS))))),7
S(K(K(K(SS))))K,0,S(K(K(K(SS))))K,7
S(K(K(KS)))(SK),0,S(K(K(KS)))(SK),7
S(K(KK))(SSK),0,S(K(KK))(SSK),7
S(K(KK))(S(SK)),0,S(K(KK))(S(SK)),7
S(KK)(K(SSK)),0,S(KK)(K(SSK)),7
S(KK)(K(S(SK))),0,S(KK)(K(S(SK))),7
SK(K(K(SSK))),0,SK(K(K(SSK))),7
SK(K(K(S(SK)))),0,SK(K(K(S(SK)))),7
S(K(K(K(SSK)))),0,S(K(K(K(SSK)))),7
S(K(K(K(S(SK))))),0,S(K(K(K(S(SK))))),7
S(K(K(K(SK))))S,0,S(K(K(K(SK))))S,7
S(K(K(KS)))(KS),0,S(K(K(KS)))(KS),7
S(K(KK))(SKS),0,S(K(KK))(SKS),7
S(K(KK))(S(KS)),0,S(K(KK))(S(KS)),7
S(KK)(K(SKS)),0,S(KK)(K(SKS)),7
S(KK)(K(S(KS))),0,S(KK)(K(S(KS))),7
SK(K(K(SKS))),0,SK(K(K(SKS))),7
SK(K(K(S(KS)))),0,SK(K(K(S(KS)))),7
S(K(K(K(SKS)))),0,S(K(K(K(SKS)))),7
S(K(K(K(S(KS))))),0,S(K(K(K(S(KS))))),7
S(K(K(K(SK))))K,0,S(K(K(K(SK))))K,7
S(K(K(KS)))(KK),0,S(K(K(KS)))(KK),7
S(K(KK))(SKK),0,S(K(KK))(SKK),7
S(K(KK))(S(KK)),0,S(K(KK))(S(KK)),7
S(KK)(K(SKK)),0,S(KK)(K(SKK)),7
S(KK)(K(S(KK))),0,S(KK)(K(S(KK))),7
SK(K(K(SKK))),0,SK(K(K(SKK))),7
SK(K(K(S(KK)))),0,SK(K(K(S(KK)))),7
S(K(K(K(SKK)))),0,S(K(K(K(SKK)))),7
S(K(K(K(S(KK))))),0,S(K(K(K(S(KK))))),7
S(K(K(K(KS))))S,0,S(K(K(K(KS))))S,7
S(K(K(KK)))(SS),0,S(K(K(KK)))(SS),7
S(K(KK))(K(SS)),0,S(K(KK))(K(SS)),7
S(KK)(K(K(SS))),0,S(KK)(K(K(SS))),7
SK(K(K(K(SS)))),0,SK(K(K(K(SS)))),7
S(K(K(K(K(SS))))),0,S(K(K(K(K(SS))))),7
S(K(K(K(KS))))K,0,S(K(K(K(KS))))K,7
S(K(K(KK)))(SK),0,S(K(K(KK)))(SK),7
S(K(KK))(K(SK)),0,S(K(KK))(K(SK)),7
S(KK)(K(K(SK))),0,S(KK)(K(K(SK))),7
SK(K(K(K(SK)))),0,SK(K(K(K(SK)))),7
S(K(K(K(K(SK))))),0,S(K(K(K(K(SK))))),7
S(K(K(K(KK))))S,0,S(K(K(K(KK))))S,7
S(K(K(KK)))(KS),0,S(K(K(KK)))(KS),7
S(K(KK))(K(KS)),0,S(K(KK))(K(KS)),7
S(KK)(K(K(KS))),0,S(KK)(K(K(KS))),7
SK(K(K(K(KS)))),0,SK(K(K(K(KS)))),7
S(K(K(K(K(KS))))),0,S(K(K(K(K(KS))))),7
S(K(K(K(KK))))K,0,S(K(K(K(KK))))K,7
S(K(K(KK)))(KK),0,S(K(K(KK)))(KK),7
S(K(KK))(K(KK)),0,S(K(KK))(K(KK)),7
S(KK)(K(K(KK))),0,S(KK)(K(K(KK))),7
SK(K(K(K(KK)))),0,SK(K(K(K(KK)))),7
S(K(K(K(K(KK))))),0,S(K(K(K(K(KK))))),7
K(SSSSSS),4,K(SS(SS(SS))),7
K(SS(SS)SS),3,K(SS(SS(SS))),7
K(SS(SSS)S),2,K(SS(SS(SS))),7
K(SS(S(SS))S),1,K(SS(S(SS)S)),7
K(S(SSSS)S),1,K(S(SS(SS))S),7
K(S(S(SS)S)S),0,K(S(S(SS)S)S),7
K(S(SS(SS))S),0,K(S(SS(SS))S),7
K(S(S(SSS))S),0,K(S(S(SSS))S),7
K(S(S(S(SS)))S),0,K(S(S(S(SS)))S),7
K(S(SSS)(SS)),0,K(S(SSS)(SS)),7
K(S(S(SS))(SS)),0,K(S(S(SS))(SS)),7
K(S(SS)(SSS)),0,K(S(SS)(SSS)),7
K(S(SS)(S(SS))),0,K(S(SS)(S(SS))),7
K(SS(SSSS)),1,K(SS(SS(SS))),7
K(SS(S(SS)S)),0,K(SS(S(SS)S)),7
K(SS(SS(SS))),0,K(SS(SS(SS))),7
K(SS(S(SSS))),0,K(SS(S(SSS))),7
K(SS(S(S(SS)))),0,K(SS(S(S(SS)))),7
K(S(SSSSS)),2,K(S(SS(SSS))),7
K(S(SS(SS)S)),1,K(S(SS(SSS))),7
K(S(S(SSS)S)),0,K(S(S(SSS)S)),7
K(S(S(S(SS))S)),0,K(S(S(S(SS))S)),7
K(S(S(SS)(SS))),0,K(S(S(SS)(SS))),7
K(S(SS(SSS))),0,K(S(SS(SSS))),7
K(S(SS(S(SS)))),0,K(S(SS(S(SS)))),7
K(S(S(SSSS))),1,K(S(S(SS(SS)))),7
K(S(S(S(SS)S))),0,K(S(S(S(SS)S))),7
K(S(S(SS(SS)))),0,K(S(S(SS(SS)))),7
K(S(S(S(SSS)))),0,K(S(S(S(SSS)))),7
K(S(S(S(S(SS))))),0,K(S(S(S(S(SS))))),7
K(SSSSSK),4,K(SK(SK(SK))),7
K(SS(SS)SK),3,K(SK(SK(SK))),7
K(SS(SSS)K),2,K(SK(SK(SK))),7
K(SS(S(SS))K),1,K(SK(S(SS)K)),7
K(S(SSSS)K),1,K(S(SS(SS))K),7
K(S(S(SS)S)K),0,K(S(S(SS)S)K),7
K(S(SS(SS))K),0,K(S(SS(SS))K),7
K(S(S(SSS))K),0,K(S(S(SSS))K),7
K(S(S(S(SS)))K),0,K(S(S(S(SS)))K),7
K(S(SSS)(SK)),0,K(S(SSS)(SK)),7
K(S(S(SS))(SK)),0,K(S(S(SS))(SK)),7
K(S(SS)(SSK)),0,K(S(SS)(SSK)),7
K(S(SS)(S(SK))),0,K(S(SS)(S(SK))),7
K(SS(SSSK)),1,K(SS(SK(SK))),7
K(SS(S(SS)K)),0,K(SS(S(SS)K)),7
K(SS(SS(SK))),0,K(SS(SS(SK))),7
K(SS(S(SSK))),0,K(SS(S(SSK))),7
K(SS(S(S(SK)))),0,K(SS(S(S(SK)))),7
K(S(SSSSK)),2,K(S(SK(SSK))),7
K(S(SS(SS)K)),1,K(S(SK(SSK))),7
K(S(S(SSS)K)),0,K(S(S(SSS)K)),7
K(S(S(S(SS))K)),0,K(S(S(S(SS))K)),7
K(S(S(SS)(SK))),0,K(S(S(SS)(SK))),7
K(S(SS(SSK))),0,K(S(SS(SSK))),7
K(S(SS(S(SK)))),0,K(S(SS(S(SK)))),7
K(S(S(SSSK))),1,K(S(S(SK(SK)))),7
K(S(S(S(SS)K))),0,K(S(S(S(SS)K))),7
K(S(S(SS(SK)))),0,K(S(S(SS(SK)))),7
K(S(S(S(SSK)))),0,K(S(S(S(SSK)))),7
K(S(S(S(S(SK))))),0,K(S(S(S(S(SK))))),7
K(SS(SSK)S),2,K(SS(SS(KS))),7
K(SS(S(SK))S),1,K(SS(S(SK)S)),7
K(S(SSSK)S),1,K(S(SK(SK))S),7
K(S(S(SS)K)S),0,K(S(S(SS)K)S),7
K(S(SS(SK))S),0,K(S(SS(SK))S),7
K(S(S(SSK))S),0,K(S(S(SSK))S),7
K(S(S(S(SK)))S),0,K(S(S(S(SK)))S),7
K(S(SSS)(KS)),0,K(S(SSS)(KS)),7
K(S(S(SS))(KS)),0,K(S(S(SS))(KS)),7
K(S(SS)(SKS)),0,K(S(SS)(SKS)),7
K(S(SS)(S(KS))),0,K(S(SS)(S(KS))),7
K(SS(SSKS)),1,K(SS(SS(KS))),7
K(SS(S(SK)S)),0,K(SS(S(SK)S)),7
K(SS(SS(KS))),0,K(SS(SS(KS))),7
K(SS(S(SKS))),0,K(SS(S(SKS))),7
K(SS(S(S(KS)))),0,K(SS(S(S(KS)))),7
K(S(SS(SK)S)),1,K(S(SS(SKS))),7
K(S(S(SSK)S)),0,K(S(S(SSK)S)),7
K(S(S(S(SK))S)),0,K(S(S(S(SK))S)),7
K(S(S(SS)(KS))),0,K(S(S(SS)(KS))),7
K(S(SS(SKS))),0,K(S(SS(SKS))),7
K(S(SS(S(KS)))),0,K(S(SS(S(KS)))),7
K(S(S(SSKS))),1,K(S(S(SS(KS)))),7
K(S(S(S(SK)S))),0,K(S(S(S(SK)S))),7
K(S(S(SS(KS)))),0,K(S(S(SS(KS)))),7
K(S(S(S(SKS)))),0,K(S(S(S(SKS)))),7
K(S(S(S(S(KS))))),0,K(S(S(S(S(KS))))),7
K(SS(SSK)K),2,K(SK(SK(KK))),7
K(SS(S(SK))K),1,K(SK(S(SK)K)),7
K(S(SSSK)K),1,K(S(SK(SK))K),7
K(S(S(SS)K)K),0,K(S(S(SS)K)K),7
K(S(SS(SK))K),0,K(S(SS(SK))K),7
K(S(S(SSK))K),0,K(S(S(SSK))K),7
K(S(S(S(SK)))K),0,K(S(S(S(SK)))K),7
K(S(SSS)(KK)),0,K(S(SSS)(KK)),7
K(S(S(SS))(KK)),0,K(S(S(SS))(KK)),7
K(S(SS)(SKK)),0,K(S(SS)(SKK)),7
K(S(SS)(S(KK))),0,K(S(SS)(S(KK))),7
K(SS(SSKK)),1,K(SS(SK(KK))),7
K(SS(S(SK)K)),0,K(SS(S(SK)K)),7
K(SS(SS(KK))),0,K(SS(SS(KK))),7
K(SS(S(SKK))),0,K(SS(S(SKK))),7
K(SS(S(S(KK)))),0,K(SS(S(S(KK)))),7
K(S(SS(SK)K)),1,K(S(SK(SKK))),7
K(S(S(SSK)K)),0,K(S(S(SSK)K)),7
K(S(S(S(SK))K)),0,K(S(S(S(SK))K)),7
K(S(S(SS)(KK))),0,K(S(S(SS)(KK))),7
K(S(SS(SKK))),0,K(S(SS(SKK))),7
K(S(SS(S(KK)))),0,K(S(SS(S(KK)))),7
K(S(S(SSKK))),1,K(S(S(SK(KK)))),7
K(S(S(S(SK)K))),0,K(S(S(S(SK)K))),7
K(S(S(SS(KK)))),0,K(S(S(SS(KK)))),7
K(S(S(S(SKK)))),0,K(S(S(S(SKK)))),7
K(S(S(S(S(KK))))),0,K(S(S(S(S(KK))))),7
K(SS(S(KS))S),1,K(SS(S(KS)S)),7
K(S(SSKS)S),1,K(S(SS(KS))S),7
K(S(S(SK)S)S),0,K(S(S(SK)S)S),7
K(S(SS(KS))S),0,K(S(SS(KS))S),7
K(S(S(SKS))S),0,K(S(S(SKS))S),7
K(S(S(S(KS)))S),0,K(S(S(S(KS)))S),7
K(S(SSK)(SS)),0,K(S(SSK)(SS)),7
K(S(S(SK))(SS)),0,K(S(S(SK))(SS)),7
K(S(SS)(K(SS))),0,K(S(SS)(K(SS))),7
K(SS(S(KS)S)),0,K(SS(S(KS)S)),7
K(SS(SK(SS))),0,K(SS(SK(SS))),7
K(SS(S(K(SS)))),0,K(SS(S(K(SS)))),7
K(S(S(SKS)S)),0,K(S(S(SKS)S)),7
K(S(S(S(KS))S)),0,K(S(S(S(KS))S)),7
K(S(S(SK)(SS))),0,K(S(S(SK)(SS))),7
K(S(SS(K(SS)))),0,K(S(SS(K(SS)))),7
K(S(S(S(KS)S))),0,K(S(S(S(KS)S))),7
K(S(S(SK(SS)))),0,K(S(S(SK(SS)))),7
K(S(S(S(K(SS))))),0,K(S(S(S(K(SS))))),7
K(SS(S(KS))K),1,K(SK(S(KS)K)),7
K(S(SSKS)K),1,K(S(SS(KS))K),7
K(S(S(SK)S)K),0,K(S(S(SK)S)K),7
K(S(SS(KS))K),0,K(S(SS(KS))K),7
K(S(S(SKS))K),0,K(S(S(SKS))K),7
K(S(S(S(KS)))K),0,K(S(S(S(KS)))K),7
K(S(SSK)(SK)),0,K(S(SSK)(SK)),7
K(S(S(SK))(SK)),0,K(S(S(SK))(SK)),7
K(S(SS)(K(SK))),0,K(S(SS)(K(SK))),7
K(SS(S(KS)K)),0,K(SS(S(KS)K)),7
K(SS(SK(SK))),0,K(SS(SK(SK))),7
K(SS(S(K(SK)))),0,K(SS(S(K(SK)))),7
K(S(S(SKS)K)),0,K(S(S(SKS)K)),7
K(S(S(S(KS))K)),0,K(S(S(S(KS))K)),7
K(S(S(SK)(SK))),0,K(S(S(SK)(SK))),7
K(S(SS(K(SK)))),0,K(S(SS(K(SK)))),7
K(S(S(S(KS)K))),0,K(S(S(S(KS)K))),7
K(S(S(SK(SK)))),0,K(S(S(SK(SK)))),7
K(S(S(S(K(SK))))),0,K(S(S(S(K(SK))))),7
K(SS(S(KK))S),1,K(SS(S(KK)S)),7
K(S(SSKK)S),1,K(S(SK(KK))S),7
K(S(S(SK)K)S),0,K(S(S(SK)K)S),7
K(S(SS(KK))S),0,K(S(SS(KK))S),7
K(S(S(SKK))S),0,K(S(S(SKK))S),7
K(S(S(S(KK)))S),0,K(S(S(S(KK)))S),7
K(S(SSK)(KS)),0,K(S(SSK)(KS)),7
K(S(S(SK))(KS)),0,K(S(S(SK))(KS)),7
K(S(SS)(K(KS))),0,K(S(SS)(K(KS))),7
K(SS(S(KK)S)),0,K(SS(S(KK)S)),7
K(SS(SK(KS))),0,K(SS(SK(KS))),7
K(SS(S(K(KS)))),0,K(SS(S(K(KS)))),7
K(S(S(SKK)S)),0,K(S(S(SKK)S)),7
K(S(S(S(KK))S)),0,K(S(S(S(KK))S)),7
K(S(S(SK)(KS))),0,K(S(S(SK)(KS))),7
K(S(SS(K(KS)))),0,K(S(SS(K(KS)))),7
K(S(S(S(KK)S))),0,K(S(S(S(KK)S))),7
K(S(S(SK(KS)))),0,K(S(S(SK(KS)))),7
K(S(S(S(K(KS))))),0,K(S(S(S(K(KS))))),7
K(SS(S(KK))K),1,K(SK(S(KK)K)),7
K(S(SSKK)K),1,K(S(SK(KK))K),7
K(S(S(SK)K)K),0,K(S(S(SK)K)K),7
K(S(SS(KK))K),0,K(S(SS(KK))K),7
K(S(S(SKK))K),0,K(S(S(SKK))K),7
K(S(S(S(KK)))K),0,K(S(S(S(KK)))K),7
K(S(SSK)(KK)),0,K(S(SSK)(KK)),7
K(S(S(SK))(KK)),0,K(S(S(SK))(KK)),7
K(S(SS)(K(KK))),0,K(S(SS)(K(KK))),7
K(SS(S(KK)K)),0,K(SS(S(KK)K)),7
K(SS(SK(KK))),0,K(SS(SK(KK))),7
K(SS(S(K(KK)))),0,K(SS(S(K(KK)))),7
K(S(S(SKK)K)),0,K(S(S(SKK)K)),7
K(S(S(S(KK))K)),0,K(S(S(S(KK))K)),7
K(S(S(SK)(KK))),0,K(S(S(SK)(KK))),7
K(S(SS(K(KK)))),0,K(S(SS(K(KK)))),7
K(S(S(S(KK)K))),0,K(S(S(S(KK)K))),7
K(S(S(SK(KK)))),0,K(S(S(SK(KK)))),7
K(S(S(S(K(KK))))),0,K(S(S(S(K(KK))))),7
K(SSK(SS)S),5,K(S(SS)(S(SS))),7
K(S(S(KS)S)S),0,K(S(S(KS)S)S),7
K(S(SK(SS))S),0,K(S(SK(SS))S),7
K(S(S(K(SS)))S),0,K(S(S(K(SS)))S),7
K(S(SKS)(SS)),0,K(S(SKS)(SS)),7
K(S(S(KS))(SS)),0,K(S(S(KS))(SS)),7
K(S(SK)(SSS)),0,K(S(SK)(SSS)),7
K(S(SK)(S(SS))),0,K(S(SK)(S(SS))),7
K(SS(K(SSS))),0,K(SS(K(SSS))),7
K(SS(K(S(SS)))),0,K(SS(K(S(SS)))),7
K(S(S(K(SS))S)),0,K(S(S(K(SS))S)),7
K(S(S(KS)(SS))),0,K(S(S(KS)(SS))),7
K(S(SK(SSS))),0,K(S(SK(SSS))),7
K(S(SK(S(SS)))),0,K(S(SK(S(SS)))),7
K(S(S(K(SSS)))),0,K(S(S(K(SSS)))),7
K(S(S(K(S(SS))))),0,K(S(S(K(S(SS))))),7
K(SSK(SS)K),5,K(S(SS)(K(SS))),7
K(S(S(KS)S)K),0,K(S(S(KS)S)K),7
K(S(SK(SS))K),0,K(S(SK(SS))K),7
K(S(S(K(SS)))K),0,K(S(S(K(SS)))K),7
K(S(SKS)(SK)),0,K(S(SKS)(SK)),7
K(S(S(KS))(SK)),0,K(S(S(KS))(SK)),7
K(S(SK)(SSK)),0,K(S(SK)(SSK)),7
K(S(SK)(S(SK))),0,K(S(SK)(S(SK))),7
K(SS(K(SSK))),0,K(SS(K(SSK))),7
K(SS(K(S(SK)))),0,K(SS(K(S(SK)))),7
K(S(S(K(SS))K)),0,K(S(S(K(SS))K)),7
K(S(S(KS)(SK))),0,K(S(S(KS)(SK))),7
K(S(SK(SSK))),0,K(S(SK(SSK))),7
K(S(SK(S(SK)))),0,K(S(SK(S(SK)))),7
K(S(S(K(SSK)))),0,K(S(S(K(SSK)))),7
K(S(S(K(S(SK))))),0,K(S(S(K(S(SK))))),7
K(S(S(KS)K)S),0,K(S(S(KS)K)S),7
K(S(SK(SK))S),0,K(S(SK(SK))S),7
K(S(S(K(SK)))S),0,K(S(S(K(SK)))S),7
K(S(SKS)(KS)),0,K(S(SKS)(KS)),7
K(S(S(KS))(KS)),0,K(S(S(KS))(KS)),7
K(S(SK)(SKS)),0,K(S(SK)(SKS)),7
K(S(SK)(S(KS))),0,K(S(SK)(S(KS))),7
K(SS(K(SKS))),0,K(SS(K(SKS))),7
K(SS(K(S(KS)))),0,K(SS(K(S(KS)))),7
K(S(S(K(SK))S)),0,K(S(S(K(SK))S)),7
K(S(S(KS)(KS))),0,K(S(S(KS)(KS))),7
K(S(SK(SKS))),0,K(S(SK(SKS))),7
K(S(SK(S(KS)))),0,K(S(SK(S(KS)))),7
K(S(S(K(SKS)))),0,K(S(S(K(SKS)))),7
K(S(S(K(S(KS))))),0,K(S(S(K(S(KS))))),7
K(S(S(KS)K)K),0,K(S(S(KS)K)K),7
K(S(SK(SK))K),0,K(S(SK(SK))K),7
K(S(S(K(SK)))K),0,K(S(S(K(SK)))K),7
K(S(SKS)(KK)),0,K(S(SKS)(KK)),7
K(S(S(KS))(KK)),0,K(S(S(KS))(KK)),7
K(S(SK)(SKK)),0,K(S(SK)(SKK)),7
K(S(SK)(S(KK))),0,K(S(SK)(S(KK))),7
K(SS(K(SKK))),0,K(SS(K(SKK))),7
K(SS(K(S(KK)))),0,K(SS(K(S(KK)))),7
K(S(S(K(SK))K)),0,K(S(S(K(SK))K)),7
K(S(S(KS)(KK))),0,K(S(S(KS)(KK))),7
K(S(SK(SKK))),0,K(S(SK(SKK))),7
K(S(SK(S(KK)))),0,K(S(SK(S(KK)))),7
K(S(S(K(SKK)))),0,K(S(S(K(SKK)))),7
K(S(S(K(S(KK))))),0,K(S(S(K(S(KK))))),7
K(S(S(KK)S)S),0,K(S(S(KK)S)S),7
K(S(SK(KS))S),0,K(S(SK(KS))S),7
K(S(S(K(KS)))S),0,K(S(S(K(KS)))S),7
K(S(SKK)(SS)),0,K(S(SKK)(SS)),7
K(S(S(KK))(SS)),0,K(S(S(KK))(SS)),7
K(S(SK)(K(SS))),0,K(S(SK)(K(SS))),7
K(SS(K(K(SS)))),0,K(SS(K(K(SS)))),7
K(S(S(K(KS))S)),0,K(S(S(K(KS))S)),7
K(S(S(KK)(SS))),0,K(S(S(KK)(SS))),7
K(S(SK(K(SS)))),0,K(S(SK(K(SS)))),7
K(S(S(K(K(SS))))),0,K(S(S(K(K(SS))))),7
K(S(S(KK)S)K),0,K(S(S(KK)S)K),7
K(S(SK(KS))K),0,K(S(SK(KS))K),7
K(S(S(K(KS)))K),0,K(S(S(K(KS)))K),7
K(S(SKK)(SK)),0,K(S(SKK)(SK)),7
K(S(S(KK))(SK)),0,K(S(S(KK))(SK)),7
K(S(SK)(K(SK))),0,K(S(SK)(K(SK))),7
K(SS(K(K(SK)))),0,K(SS(K(K(SK)))),7
K(S(S(K(KS))K)),0,K(S(S(K(KS))K)),7
K(S(S(KK)(SK))),0,K(S(S(KK)(SK))),7
K(S(SK(K(SK)))),0,K(S(SK(K(SK)))),7
K(S(S(K(K(SK))))),0,K(S(S(K(K(SK))))),7
K(S(S(KK)K)S),0,K(S(S(KK)K)S),7
K(S(SK(KK))S),0,K(S(SK(KK))S),7
K(S(S(K(KK)))S),0,K(S(S(K(KK)))S),7
K(S(SKK)(KS)),0,K(S(SKK)(KS)),7
K(S(S(KK))(KS)),0,K(S(S(KK))(KS)),7
K(S(SK)(K(KS))),0,K(S(SK)(K(KS))),7
K(SS(K(K(KS)))),0,K(SS(K(K(KS)))),7
K(S(S(K(KK))S)),0,K(S(S(K(KK))S)),7
K(S(S(KK)(KS))),0,K(S(S(KK)(KS))),7
K(S(SK(K(KS)))),0,K(S(SK(K(KS)))),7
K(S(S(K(K(KS))))),0,K(S(S(K(K(KS))))),7
K(S(S(KK)K)K),0,K(S(S(KK)K)K),7
K(S(SK(KK))K),0,K(S(SK(KK))K),7
K(S(S(K(KK)))K),0,K(S(S(K(KK)))K),7
K(S(SKK)(KK)),0,K(S(SKK)(KK)),7
K(S(S(KK))(KK)),0,K(S(S(KK))(KK)),7
K(S(SK)(K(KK))),0,K(S(SK)(K(KK))),7
K(SS(K(K(KK)))),0,K(SS(K(K(KK)))),7
K(S(S(K(KK))K)),0,K(S(S(K(KK))K)),7
K(S(S(KK)(KK))),0,K(S(S(KK)(KK))),7
K(S(SK(K(KK)))),0,K(S(SK(K(KK)))),7
K(S(S(K(K(KK))))),0,K(S(S(K(K(KK))))),7
K(S(K(SSS))S),0,K(S(K(SSS))S),7
K(S(K(S(SS)))S),0,K(S(K(S(SS)))S),7
K(S(K(SS))(SS)),0,K(S(K(SS))(SS)),7
K(S(KS)(SSS)),0,K(S(KS)(SSS)),7
K(S(KS)(S(SS))),0,K(S(KS)(S(SS))),7
K(SK(SSSS)),1,K(SK(SS(SS))),7
K(SK(S(SS)S)),0,K(SK(S(SS)S)),7
K(SK(SS(SS))),0,K(SK(SS(SS))),7
K(SK(S(SSS))),0,K(SK(S(SSS))),7
K(SK(S(S(SS)))),0,K(SK(S(S(SS)))),7
K(S(K(SSSS))),1,K(S(K(SS(SS)))),7
K(S(K(S(SS)S))),0,K(S(K(S(SS)S))),7
K(S(K(SS(SS)))),0,K(S(K(SS(SS)))),7
K(S(K(S(SSS)))),0,K(S(K(S(SSS)))),7
K(S(K(S(S(SS))))),0,K(S(K(S(S(SS))))),7
K(S(K(SSS))K),0,K(S(K(SSS))K),7
K(S(K(S(SS)))K),0,K(S(K(S(SS)))K),7
K(S(K(SS))(SK)),0,K(S(K(SS))(SK)),7
K(S(KS)(SSK)),0,K(S(KS)(SSK)),7
K(S(KS)(S(SK))),0,K(S(KS)(S(SK))),7
K(SK(SSSK)),1,K(SK(SK(SK))),7
K(SK(S(SS)K)),0,K(SK(S(SS)K)),7
K(SK(SS(SK))),0,K(SK(SS(SK))),7
K(SK(S(SSK))),0,K(SK(S(SSK))),7
K(SK(S(S(SK)))),0,K(SK(S(S(SK)))),7
K(S(K(SSSK))),1,K(S(K(SK(SK)))),7
K(S(K(S(SS)K))),0,K(S(K(S(SS)K))),7
K(S(K(SS(SK)))),0,K(S(K(SS(SK)))),7
K(S(K(S(SSK)))),0,K(S(K(S(SSK)))),7
K(S(K(S(S(SK))))),0,K(S(K(S(S(SK))))),7
K(S(K(SSK))S),0,K(S(K(SSK))S),7
K(S(K(S(SK)))S),0,K(S(K(S(SK)))S),7
K(S(K(SS))(KS)),0,K(S(K(SS))(KS)),7
K(S(KS)(SKS)),0,K(S(KS)(SKS)),7
K(S(KS)(S(KS))),0,K(S(KS)(S(KS))),7
K(SK(SSKS)),1,K(SK(SS(KS))),7
K(SK(S(SK)S)),0,K(SK(S(SK)S)),7
K(SK(SS(KS))),0,K(SK(SS(KS))),7
K(SK(S(SKS))),0,K(SK(S(SKS))),7
K(SK(S(S(KS)))),0,K(SK(S(S(KS)))),7
K(S(K(SSKS))),1,K(S(K(SS(KS)))),7
K(S(K(S(SK)S))),0,K(S(K(S(SK)S))),7
K(S(K(SS(KS)))),0,K(S(K(SS(KS)))),7
K(S(K(S(SKS)))),0,K(S(K(S(SKS)))),7
K(S(K(S(S(KS))))),0,K(S(K(S(S(KS))))),7
K(S(K(SSK))K),0,K(S(K(SSK))K),7
K(S(K(S(SK)))K),0,K(S(K(S(SK)))K),7
K(S(K(SS))(KK)),0,K(S(K(SS))(KK)),7
K(S(KS)(SKK)),0,K(S(KS)(SKK)),7
K(S(KS)(S(KK))),0,K(S(KS)(S(KK))),7
K(SK(SSKK)),1,K(SK(SK(KK))),7
K(SK(S(SK)K)),0,K(SK(S(SK)K)),7
K(SK(SS(KK))),0,K(SK(SS(KK))),7
K(SK(S(SKK))),0,K(SK(S(SKK))),7
K(SK(S(S(KK)))),0,K(SK(S(S(KK)))),7
K(S(K(SSKK))),1,K(S(K(SK(KK)))),7
K(S(K(S(SK)K))),0,K(S(K(S(SK)K))),7
K(S(K(SS(KK)))),0,K(S(K(SS(KK)))),7
K(S(K(S(SKK)))),0,K(S(K(S(SKK)))),7
K(S(K(S(S(KK))))),0,K(S(K(S(S(KK))))),7
K(S(K(SKS))S),0,K(S(K(SKS))S),7
K(S(K(S(KS)))S),0,K(S(K(S(KS)))S),7
K(S(K(SK))(SS)),0,K(S(K(SK))(SS)),7
K(S(KS)(K(SS))),0,K(S(KS)(K(SS))),7
K(SK(S(KS)S)),0,K(SK(S(KS)S)),7
K(SK(SK(SS))),0,K(SK(SK(SS))),7
K(SK(S(K(SS)))),0,K(SK(S(K(SS)))),7
K(S(K(S(KS)S))),0,K(S(K(S(KS)S))),7
K(S(K(SK(SS)))),0,K(S(K(SK(SS)))),7
K(S(K(S(K(SS))))),0,K(S(K(S(K(SS))))),7
K(S(K(SKS))K),0,K(S(K(SKS))K),7
K(S(K(S(KS)))K),0,K(S(K(S(KS)))K),7
K(S(K(SK))(SK)),0,K(S(K(SK))(SK)),7
K(S(KS)(K(SK))),0,K(S(KS)(K(SK))),7
K(SK(S(KS)K)),0,K(SK(S(KS)K)),7
