Human-Readable Term,Reduction Steps,Normal Form,Normal Form Size
SSS(S(S(KS))),1,S(S(S(KS)))(S(S(S(KS)))),10
S(SS)(SSK)K,4,S(SK(KK))(K(SK(KK))),10
S(SS)(S(SK))K,2,S(S(SK)K)(K(S(SK)K)),10
SSS(SSKK),3,S(SK(KK))(S(SK(KK))),10
SSS(S(SK)K),1,S(S(SK)K)(S(S(SK)K)),10
SSS(SS(KK)),1,S(SS(KK))(S(SS(KK))),10
SSS(S(SKK)),1,S(S(SKK))(S(S(SKK))),10
SSS(S(S(KK))),1,S(S(S(KK)))(S(S(S(KK)))),10
S(SS)(S(KS))S,2,S(S(KS)S)(S(S(KS)S)),10
SSS(S(KS)S),1,S(S(KS)S)(S(S(KS)S)),10
SSS(SK(SS)),1,S(SK(SS))(S(SK(SS))),10
SSS(S(K(SS))),1,S(S(K(SS)))(S(S(K(SS)))),10
S(S(SS)K(SS)),2,S(S(K(SS))(SS(K(SS)))),10
S(SS)(S(KS))K,2,S(S(KS)K)(K(S(KS)K)),10
SSS(S(KS)K),1,S(S(KS)K)(S(S(KS)K)),10
SSS(SK(SK)),1,S(SK(SK))(S(SK(SK))),10
SSS(S(K(SK))),1,S(S(K(SK)))(S(S(K(SK)))),10
S(S(SS)K(SK)),2,S(S(K(SK))(SK(K(SK)))),10
S(SS)(S(KK))S,2,S(S(KK)S)(S(S(KK)S)),10
SSS(S(KK)S),1,S(S(KK)S)(S(S(KK)S)),10
SSS(SK(KS)),1,S(SK(KS))(S(SK(KS))),10
SSS(S(K(KS))),1,S(S(K(KS)))(S(S(K(KS)))),10
S(SS)(S(KK))K,2,S(S(KK)K)(K(S(KK)K)),10
SSS(S(KK)K),1,S(S(KK)K)(S(S(KK)K)),10
SSS(SK(KK)),1,S(SK(KK))(S(SK(KK))),10
SSS(S(K(KK))),1,S(S(K(KK)))(S(S(K(KK)))),10
SSS(K(SSS)),1,S(K(SSS))(S(K(SSS))),10
SSS(K(S(SS))),1,S(K(S(SS)))(S(K(S(SS)))),10
SSS(K(SSK)),1,S(K(SSK))(S(K(SSK))),10
SSS(K(S(SK))),1,S(K(S(SK)))(S(K(S(SK)))),10
SSS(K(SKS)),1,S(K(SKS))(S(K(SKS))),10
SSS(K(S(KS))),1,S(K(S(KS)))(S(K(S(KS)))),10
SSS(K(SKK)),1,S(K(SKK))(S(K(SKK))),10
SSS(K(S(KK))),1,S(K(S(KK)))(S(K(S(KK)))),10
SSS(K(K(SS))),1,S(K(K(SS)))(S(K(K(SS)))),10
SSS(K(K(SK))),1,S(K(K(SK)))(S(K(K(SK)))),10
SSS(K(K(KS))),1,S(K(K(KS)))(S(K(K(KS)))),10
SSS(K(K(KK))),1,S(K(K(KK)))(S(K(K(KK)))),10
SSK(SS)SS,8,S(S(SS)S)(S(S(SS)S)),10
SSK(SSSS),3,S(SS(SS))(K(SS(SS))),10
SSK(S(SS)S),1,S(S(SS)S)(K(S(SS)S)),10
SSK(SS(SS)),1,S(SS(SS))(K(SS(SS))),10
SSK(S(SSS)),1,S(S(SSS))(K(S(SSS))),10
SSK(S(S(SS))),1,S(S(S(SS)))(K(S(S(SS)))),10
SSK(SS)SK,8,S(S(SS)K)(K(S(SS)K)),10
SSK(SSSK),3,S(SK(SK))(K(SK(SK))),10
SSK(S(SS)K),1,S(S(SS)K)(K(S(SS)K)),10
SSK(SS(SK)),1,S(SS(SK))(K(SS(SK))),10
SSK(S(SSK)),1,S(S(SSK))(K(S(SSK))),10
SSK(S(S(SK))),1,S(S(S(SK)))(K(S(S(SK)))),10
SSK(SSKS),3,S(SS(KS))(K(SS(KS))),10
SSK(S(SK)S),1,S(S(SK)S)(K(S(SK)S)),10
SSK(SS(KS)),1,S(SS(KS))(K(SS(KS))),10
SSK(S(SKS)),1,S(S(SKS))(K(S(SKS))),10
SSK(S(S(KS))),1,S(S(S(KS)))(K(S(S(KS)))),10
SSK(SSKK),3,S(SK(KK))(K(SK(KK))),10
SSK(S(SK)K),1,S(S(SK)K)(K(S(SK)K)),10
SSK(SS(KK)),1,S(SS(KK))(K(SS(KK))),10
SSK(S(SKK)),1,S(S(SKK))(K(S(SKK))),10
SSK(S(S(KK))),1,S(S(S(KK)))(K(S(S(KK)))),10
SSK(S(KS)S),1,S(S(KS)S)(K(S(KS)S)),10
SSK(SK(SS)),1,S(SK(SS))(K(SK(SS))),10
SSK(S(K(SS))),1,S(S(K(SS)))(K(S(K(SS)))),10
SSK(S(KS)K),1,S(S(KS)K)(K(S(KS)K)),10
SSK(SK(SK)),1,S(SK(SK))(K(SK(SK))),10
SSK(S(K(SK))),1,S(S(K(SK)))(K(S(K(SK)))),10
SSK(S(KK)S),1,S(S(KK)S)(K(S(KK)S)),10
SSK(SK(KS)),1,S(SK(KS))(K(SK(KS))),10
SSK(S(K(KS))),1,S(S(K(KS)))(K(S(K(KS)))),10
SSK(S(KK)K),1,S(S(KK)K)(K(S(KK)K)),10
SSK(SK(KK)),1,S(SK(KK))(K(SK(KK))),10
SSK(S(K(KK))),1,S(S(K(KK)))(K(S(K(KK)))),10
SSK(K(SSS)),1,S(K(SSS))(K(K(SSS))),10
SSK(K(S(SS))),1,S(K(S(SS)))(K(K(S(SS)))),10
SSK(K(SSK)),1,S(K(SSK))(K(K(SSK))),10
SSK(K(S(SK))),1,S(K(S(SK)))(K(K(S(SK)))),10
SSK(K(SKS)),1,S(K(SKS))(K(K(SKS))),10
SSK(K(S(KS))),1,S(K(S(KS)))(K(K(S(KS)))),10
SSK(K(SKK)),1,S(K(SKK))(K(K(SKK))),10
SSK(K(S(KK))),1,S(K(S(KK)))(K(K(S(KK)))),10
SSK(K(K(SS))),1,S(K(K(SS)))(K(K(K(SS)))),10
SSK(K(K(SK))),1,S(K(K(SK)))(K(K(K(SK)))),10
SSK(K(K(KS))),1,S(K(K(KS)))(K(K(K(KS)))),10
SSK(K(K(KK))),1,S(K(K(KK)))(K(K(K(KK)))),10
K(S(S(SS))SS),3,K(S(S(SS))(SS(S(SS)))),10
K(S(SS)S(SS)),2,K(S(S(SS))(SS(S(SS)))),10
K(S(S(SS))SK),3,K(S(K(SK))(SK(K(SK)))),10
K(S(SS)S(SK)),2,K(S(S(SK))(SK(S(SK)))),10
K(S(SS)K(SS)),2,K(S(K(SS))(SS(K(SS)))),10
K(S(SS)K(SK)),2,K(S(K(SK))(SK(K(SK)))),10
S(SSSS)SS,5,S(SS)(S(SS)(S(SS))),9
S(SS(SS))SS,4,S(SS)(S(SS)(S(SS))),9
S(SSS)(SS)S,3,S(SSS)(SS(SSS)),9
SSSSS(SS),4,S(SS)(S(SS)(S(SS))),9
SS(SS)S(SS),3,S(SS)(S(SS)(S(SS))),9
SS(SSS)(SS),2,S(SS)(S(SS)(S(SS))),9
SSSS(SSS),2,S(SSS)(SS(SSS)),9
SSSS(S(SS)),2,S(S(SS))(SS(S(SS))),9
SS(SS)(SSS),1,S(SSS)(SS(SSS)),9
SS(SS)(S(SS)),1,S(S(SS))(SS(S(SS))),9
S(S(SS)(SS)S),2,S(S(SSS)(S(SSS))),9
S(SSS(SSS)),1,S(S(SSS)(S(SSS))),9
S(SSS(S(SS))),1,S(S(S(SS))(S(S(SS)))),9
SSSSS(SK),4,S(SK)(S(SK)(S(SK))),9
SS(SS)S(SK),3,S(SK)(S(SK)(S(SK))),9
SS(SSS)(SK),2,S(SK)(S(SK)(S(SK))),9
SSSS(SSK),2,S(SSK)(SS(SSK)),9
SSSS(S(SK)),2,S(S(SK))(SS(S(SK))),9
SS(SS)(SSK),1,S(SSK)(SS(SSK)),9
SS(SS)(S(SK)),1,S(S(SK))(SS(S(SK))),9
S(S(SS)(SS)K),2,S(S(SSK)(K(SSK))),9
S(SSS(SSK)),1,S(S(SSK)(S(SSK))),9
S(SSS(S(SK))),1,S(S(S(SK))(S(S(SK)))),9
S(SSSS)KS,5,S(KS)(S(KS)(S(KS))),9
S(SS(SS))KS,4,S(KS)(S(KS)(S(KS))),9
S(SSS)(SK)S,3,S(SKS)(SS(SKS)),9
S(S(SS))(SK)S,5,S(S(SKS))(S(SKS)),9
SSSSS(KS),4,S(KS)(S(KS)(S(KS))),9
SS(SS)S(KS),3,S(KS)(S(KS)(S(KS))),9
SS(SSS)(KS),2,S(KS)(S(KS)(S(KS))),9
SSSS(SKS),2,S(SKS)(SS(SKS)),9
SSSS(S(KS)),2,S(S(KS))(SS(S(KS))),9
S(SS)S(SKS),4,S(S(SKS))(S(SKS)),9
SS(SS)(SKS),1,S(SKS)(SS(SKS)),9
SS(SS)(S(KS)),1,S(S(KS))(SS(S(KS))),9
S(S(SS)(SK)S),2,S(S(SKS)(S(SKS))),9
S(SSS(SKS)),1,S(S(SKS)(S(SKS))),9
S(SSS(S(KS))),1,S(S(S(KS))(S(S(KS)))),9
S(S(SS))(SK)K,5,S(K(SKK))(K(SKK)),9
SSSSS(KK),4,S(KK)(S(KK)(S(KK))),9
SS(SS)S(KK),3,S(KK)(S(KK)(S(KK))),9
SS(SSS)(KK),2,S(KK)(S(KK)(S(KK))),9
SSSS(SKK),2,S(SKK)(SS(SKK)),9
SSSS(S(KK)),2,S(S(KK))(SS(S(KK))),9
S(SS)S(SKK),4,S(S(SKK))(S(SKK)),9
SS(SS)(SKK),1,S(SKK)(SS(SKK)),9
SS(SS)(S(KK)),1,S(S(KK))(SS(S(KK))),9
S(S(SS)(SK)K),2,S(S(SKK)(K(SKK))),9
S(SSS(SKK)),1,S(S(SKK)(S(SKK))),9
S(SSS(S(KK))),1,S(S(S(KK))(S(S(KK)))),9
S(SSS)K(SS),5,S(S(SS)(K(SS)))(SS),9
SS(SSK)(SS),2,S(SS)(S(SS)(K(SS))),9
SSSS(K(SS)),2,S(K(SS))(SS(K(SS))),9
SS(SS)(K(SS)),1,S(K(SS))(SS(K(SS))),9
S(SSS(K(SS))),1,S(S(K(SS))(S(K(SS)))),9
SS(SSK)(SK),2,S(SK)(S(SK)(K(SK))),9
SSSS(K(SK)),2,S(K(SK))(SS(K(SK))),9
SS(SS)(K(SK)),1,S(K(SK))(SS(K(SK))),9
S(SSS(K(SK))),1,S(S(K(SK))(S(K(SK)))),9
SS(SSK)(KS),2,S(KS)(S(KS)(K(KS))),9
SSSS(K(KS)),2,S(K(KS))(SS(K(KS))),9
SS(SS)(K(KS)),1,S(K(KS))(SS(K(KS))),9
S(SSS(K(KS))),1,S(S(K(KS))(S(K(KS)))),9
